Question,Option A,Option B,Option C,Option D,Correct Answer
What is the capital of France?,London,Berlin,Paris,Madrid,C
Which planet is known as the Red Planet?,Venus,Mars,Jupiter,Saturn,B
What is 2 + 2?,3,4,5,6,B
Who wrote Romeo and Juliet?,Charles Dickens,William Shakespeare,Mark Twain,Jane Austen,B
What is the chemical symbol for water?,H2O,CO2,NaCl,O2,A
What is the largest ocean on Earth?,Atlantic Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean,D
How many continents are there?,5,6,7,8,C
What is the speed of light?,300000 km/s,150000 km/s,450000 km/s,200000 km/s,A
Which gas do plants absorb from the atmosphere?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,C
What is the powerhouse of the cell?,Nucleus,Mitochondria,Ribosome,Endoplasmic Reticulum,B
